type,name,value,date
安徽,安徽宿州市埇桥区,27.37,2020/2/21
安徽,安徽宿州市埇桥区,34.65,2020/2/22
安徽,安徽宿州市埇桥区,42.05,2020/2/23
安徽,安徽宿州市埇桥区,57.18,2020/2/24
安徽,安徽宿州市埇桥区,57.230000000000004,2020/2/25
安徽,安徽宿州市埇桥区,57.97,2020/2/26
安徽,安徽宿州市埇桥区,58.63,2020/2/27
安徽,安徽宿州市埇桥区,59.93000000000001,2020/2/28
湖南,湖南娄底市新化县,26.31,2020/2/19
湖南,湖南娄底市新化县,31.8,2020/2/20
湖南,湖南娄底市新化县,36.49,2020/2/21
湖南,湖南娄底市新化县,41.32,2020/2/22
湖南,湖南娄底市新化县,45.660000000000004,2020/2/23
湖南,湖南娄底市新化县,47.68,2020/2/24
湖南,湖南娄底市新化县,57.21000000000001,2020/2/25
湖南,湖南娄底市新化县,58.06,2020/2/26
湖南,湖南娄底市新化县,58.84,2020/2/27
湖南,湖南娄底市新化县,59.89,2020/2/28
贵州,贵州遵义市播州区,27.24,2020/2/19
贵州,贵州遵义市播州区,33.160000000000004,2020/2/20
贵州,贵州遵义市播州区,37.55,2020/2/21
贵州,贵州遵义市播州区,42.309999999999995,2020/2/22
贵州,贵州遵义市播州区,46.87,2020/2/23
贵州,贵州遵义市播州区,50.13999999999999,2020/2/24
贵州,贵州遵义市播州区,58.660000000000004,2020/2/25
贵州,贵州遵义市播州区,59.07,2020/2/26
贵州,贵州遵义市播州区,59.53000000000001,2020/2/27
贵州,贵州遵义市播州区,59.17,2020/2/28
江西,江西宜春市袁州区,28.189999999999998,2020/2/19
江西,江西宜春市袁州区,33.44,2020/2/20
江西,江西宜春市袁州区,38.03,2020/2/21
江西,江西宜春市袁州区,42.559999999999995,2020/2/22
江西,江西宜春市袁州区,46.56,2020/2/23
江西,江西宜春市袁州区,53.72,2020/2/24
江西,江西宜春市袁州区,57.78,2020/2/25
江西,江西宜春市袁州区,57.36,2020/2/26
江西,江西宜春市袁州区,57.06,2020/2/27
江西,江西宜春市袁州区,59.099999999999994,2020/2/28
贵州,贵州六盘水市六枝特区,26.090000000000003,2020/2/19
贵州,贵州六盘水市六枝特区,29.849999999999998,2020/2/20
贵州,贵州六盘水市六枝特区,38.29,2020/2/21
贵州,贵州六盘水市六枝特区,44.76,2020/2/22
贵州,贵州六盘水市六枝特区,44.91,2020/2/23
贵州,贵州六盘水市六枝特区,44.91,2020/2/24
贵州,贵州六盘水市六枝特区,58.35,2020/2/25
贵州,贵州六盘水市六枝特区,58.85,2020/2/26
贵州,贵州六盘水市六枝特区,58.8,2020/2/27
贵州,贵州六盘水市六枝特区,58.35,2020/2/28
贵州,贵州毕节市织金县,27.29,2020/2/19
贵州,贵州毕节市织金县,33.06,2020/2/20
贵州,贵州毕节市织金县,36.51,2020/2/21
贵州,贵州毕节市织金县,41.55,2020/2/22
贵州,贵州毕节市织金县,44.72,2020/2/23
贵州,贵州毕节市织金县,47.55,2020/2/24
贵州,贵州毕节市织金县,57.60999999999999,2020/2/25
贵州,贵州毕节市织金县,57.42,2020/2/26
贵州,贵州毕节市织金县,57.550000000000004,2020/2/27
贵州,贵州毕节市织金县,57.65,2020/2/28
河南,河南平顶山市宝丰县,24.89,2020/2/19
河南,河南平顶山市宝丰县,30.959999999999997,2020/2/20
河南,河南平顶山市宝丰县,36.1,2020/2/21
河南,河南平顶山市宝丰县,41.31,2020/2/22
河南,河南平顶山市宝丰县,45.5,2020/2/23
河南,河南平顶山市宝丰县,44.529999999999994,2020/2/24
河南,河南平顶山市宝丰县,54.35,2020/2/25
河南,河南平顶山市宝丰县,54.52,2020/2/26
河南,河南平顶山市宝丰县,55.21,2020/2/27
河南,河南平顶山市宝丰县,57.14,2020/2/28
贵州,贵州铜仁市思南县,26.400000000000002,2020/2/19
贵州,贵州铜仁市思南县,31.380000000000003,2020/2/20
贵州,贵州铜仁市思南县,36.58,2020/2/21
贵州,贵州铜仁市思南县,41.81,2020/2/22
贵州,贵州铜仁市思南县,45.269999999999996,2020/2/23
贵州,贵州铜仁市思南县,50.160000000000004,2020/2/24
贵州,贵州铜仁市思南县,55.82,2020/2/25
贵州,贵州铜仁市思南县,55.800000000000004,2020/2/26
贵州,贵州铜仁市思南县,56.67,2020/2/27
贵州,贵州铜仁市思南县,57.06,2020/2/28
湖南,湖南岳阳市汨罗市,26.369999999999997,2020/2/19
湖南,湖南岳阳市汨罗市,31.09,2020/2/20
湖南,湖南岳阳市汨罗市,35.480000000000004,2020/2/21
湖南,湖南岳阳市汨罗市,39.62,2020/2/22
湖南,湖南岳阳市汨罗市,43.94,2020/2/23
湖南,湖南岳阳市汨罗市,47.97,2020/2/24
湖南,湖南岳阳市汨罗市,54.510000000000005,2020/2/25
湖南,湖南岳阳市汨罗市,55.15,2020/2/26
湖南,湖南岳阳市汨罗市,55.46,2020/2/27
湖南,湖南岳阳市汨罗市,56.47,2020/2/28
湖南,湖南常德市石门县,28.410000000000004,2020/2/19
湖南,湖南常德市石门县,30.669999999999998,2020/2/20
湖南,湖南常德市石门县,36.88,2020/2/21
湖南,湖南常德市石门县,38.379999999999995,2020/2/22
湖南,湖南常德市石门县,43.79,2020/2/23
湖南,湖南常德市石门县,43.05,2020/2/24
湖南,湖南常德市石门县,54.42,2020/2/25
湖南,湖南常德市石门县,54.94,2020/2/26
湖南,湖南常德市石门县,55.730000000000004,2020/2/27
湖南,湖南常德市石门县,56.43,2020/2/28
广西,广西南宁市武鸣区,26.88,2020/2/19
广西,广西南宁市武鸣区,31.78,2020/2/20
广西,广西南宁市武鸣区,35.97,2020/2/21
广西,广西南宁市武鸣区,40.61,2020/2/22
广西,广西南宁市武鸣区,44.14,2020/2/23
广西,广西南宁市武鸣区,47.31,2020/2/24
广西,广西南宁市武鸣区,55.32,2020/2/25
广西,广西南宁市武鸣区,55.33,2020/2/26
广西,广西南宁市武鸣区,56.02,2020/2/27
广西,广西南宁市武鸣区,56.379999999999995,2020/2/28
湖南,湖南郴州市桂阳县,25.619999999999997,2020/2/19
湖南,湖南郴州市桂阳县,31.130000000000003,2020/2/20
湖南,湖南郴州市桂阳县,36.42,2020/2/21
湖南,湖南郴州市桂阳县,40.97,2020/2/22
湖南,湖南郴州市桂阳县,44.11,2020/2/23
湖南,湖南郴州市桂阳县,49.94,2020/2/24
湖南,湖南郴州市桂阳县,54.24,2020/2/25
湖南,湖南郴州市桂阳县,54.02,2020/2/26
湖南,湖南郴州市桂阳县,54.22,2020/2/27
湖南,湖南郴州市桂阳县,56.330000000000005,2020/2/28
贵州,贵州遵义市习水县,25.11,2020/2/19
贵州,贵州遵义市习水县,30.72,2020/2/20
贵州,贵州遵义市习水县,36.28,2020/2/21
贵州,贵州遵义市习水县,37.45,2020/2/22
贵州,贵州遵义市习水县,42.55,2020/2/23
贵州,贵州遵义市习水县,42.26,2020/2/24
贵州,贵州遵义市习水县,53.03,2020/2/25
贵州,贵州遵义市习水县,53.580000000000005,2020/2/26
贵州,贵州遵义市习水县,53.71,2020/2/27
贵州,贵州遵义市习水县,55.74,2020/2/28
湖南,湖南岳阳市岳阳县,26.36,2020/2/19
湖南,湖南岳阳市岳阳县,32.14,2020/2/20
湖南,湖南岳阳市岳阳县,37.14,2020/2/21
湖南,湖南岳阳市岳阳县,41.91,2020/2/22
湖南,湖南岳阳市岳阳县,45.540000000000006,2020/2/23
湖南,湖南岳阳市岳阳县,49.91,2020/2/24
湖南,湖南岳阳市岳阳县,56.10000000000001,2020/2/25
湖南,湖南岳阳市岳阳县,55.730000000000004,2020/2/26
湖南,湖南岳阳市岳阳县,55.95,2020/2/27
湖南,湖南岳阳市岳阳县,55.669999999999995,2020/2/28
湖南,湖南湘潭市湘潭县,26.669999999999998,2020/2/19
湖南,湖南湘潭市湘潭县,31.5,2020/2/20
湖南,湖南湘潭市湘潭县,35.99,2020/2/21
湖南,湖南湘潭市湘潭县,40.33,2020/2/22
湖南,湖南湘潭市湘潭县,44.379999999999995,2020/2/23
湖南,湖南湘潭市湘潭县,51.65,2020/2/24
湖南,湖南湘潭市湘潭县,54.96,2020/2/25
湖南,湖南湘潭市湘潭县,55.410000000000004,2020/2/26
湖南,湖南湘潭市湘潭县,55.54,2020/2/27
湖南,湖南湘潭市湘潭县,54.620000000000005,2020/2/28
湖南,湖南郴州市宜章县,26.46,2020/2/19
湖南,湖南郴州市宜章县,31.55,2020/2/20
湖南,湖南郴州市宜章县,35.58,2020/2/21
湖南,湖南郴州市宜章县,39.82,2020/2/22
湖南,湖南郴州市宜章县,43.669999999999995,2020/2/23
湖南,湖南郴州市宜章县,47.699999999999996,2020/2/24
湖南,湖南郴州市宜章县,52.959999999999994,2020/2/25
湖南,湖南郴州市宜章县,53.12,2020/2/26
湖南,湖南郴州市宜章县,53.39,2020/2/27
湖南,湖南郴州市宜章县,54.35,2020/2/28
湖南,湖南怀化市溆浦县,24.63,2020/2/19
湖南,湖南怀化市溆浦县,29.849999999999998,2020/2/20
湖南,湖南怀化市溆浦县,34.599999999999994,2020/2/21
湖南,湖南怀化市溆浦县,37.71,2020/2/22
湖南,湖南怀化市溆浦县,41.47,2020/2/23
湖南,湖南怀化市溆浦县,43.03,2020/2/24
湖南,湖南怀化市溆浦县,51.7,2020/2/25
湖南,湖南怀化市溆浦县,52.31,2020/2/26
湖南,湖南怀化市溆浦县,52.73,2020/2/27
